season tcID TC YYYYMMDDHH lat lon vmax pmin status distance
2016 EP01 One 2016060606 13.0 -99.2 25 1007 LO 366
2016 EP01 One 2016060612 13.5 -98.2 25 1007 TD 280
2016 EP01 One 2016060618 13.9 -97.1 30 1006 TD 206
2016 EP01 One 2016060700 14.3 -96.2 30 1006 TD 156
2016 EP01 One 2016060706 14.7 -95.6 30 1006 TD 132
2016 EP01 One 2016060712 15.1 -95.0 30 1006 TD 112
2016 EP01 One 2016060718 15.5 -94.7 30 1006 TD 81
2016 EP01 One 2016060800 15.8 -94.7 25 1006 LO 48
2016 EP01 One 2016060806 16.0 -94.7 25 1006 LO 26
2016 EP02 Agatha 2016070106 13.3 -114.3 25 1008 LO 703
2016 EP02 Agatha 2016070112 13.7 -115.1 25 1008 LO 713
2016 EP02 Agatha 2016070118 14.1 -115.9 25 1008 LO 736
2016 EP02 Agatha 2016070200 14.5 -116.7 25 1007 TD 770
2016 EP02 Agatha 2016070206 14.9 -117.6 30 1006 TD 823
2016 EP02 Agatha 2016070212 15.3 -118.5 30 1006 TD 885
2016 EP02 Agatha 2016070218 15.8 -119.7 35 1005 TS 981
2016 EP02 Agatha 2016070300 16.3 -121.0 40 1004 TS 1095
2016 EP02 Agatha 2016070306 16.8 -122.1 45 1002 TS 1195
2016 EP02 Agatha 2016070312 17.2 -123.3 45 1002 TS 1312
2016 EP02 Agatha 2016070318 17.5 -124.4 40 1004 TS 1417
2016 EP02 Agatha 2016070400 17.8 -125.5 40 1004 TS 1440
2016 EP02 Agatha 2016070406 18.1 -126.6 40 1006 TS 1473
2016 EP02 Agatha 2016070412 18.4 -127.7 35 1007 TS 1513
2016 EP02 Agatha 2016070418 18.8 -128.8 30 1008 TD 1553
2016 EP02 Agatha 2016070500 19.1 -129.9 30 1008 TD 1608
2016 EP02 Agatha 2016070506 19.4 -130.9 30 1008 LO 1661
2016 EP02 Agatha 2016070512 19.6 -131.9 25 1009 LO 1726
2016 EP02 Agatha 2016070518 19.8 -132.9 25 1009 LO 1794
2016 EP02 Agatha 2016070600 20.0 -133.9 25 1009 LO 1865
2016 EP02 Agatha 2016070606 20.2 -134.9 25 1010 LO 1939
2016 EP02 Agatha 2016070612 20.4 -135.9 25 1010 LO 1980
2016 EP02 Agatha 2016070618 20.6 -137.0 25 1010 LO 1865
2016 EP02 Agatha 2016070700 20.7 -138.1 25 1010 LO 1751
2016 EP02 Agatha 2016070706 20.8 -139.1 25 1010 LO 1648
2016 EP02 Agatha 2016070712 20.8 -140.0 25 1010 LO 1554
2016 EP02 Agatha 2016070718 20.7 -140.8 25 1010 LO 1471
2016 EP02 Agatha 2016070800 20.6 -141.5 25 1010 LO 1397
2016 EP02 Agatha 2016070806 20.4 -142.2 25 1010 LO 1324
2016 EP03 Blas 2016070218 10.8 -106.8 25 1008 TD 911
2016 EP03 Blas 2016070300 11.1 -107.8 30 1007 TD 919
2016 EP03 Blas 2016070306 11.4 -108.8 40 1006 TS 852
2016 EP03 Blas 2016070312 11.7 -109.8 50 1005 TS 796
2016 EP03 Blas 2016070318 12.0 -110.7 55 1003 TS 753
2016 EP03 Blas 2016070400 12.3 -111.7 55 1002 TS 723
2016 EP03 Blas 2016070406 12.6 -112.7 60 1000 TS 709
2016 EP03 Blas 2016070412 13.0 -113.9 65 994 HU 712
2016 EP03 Blas 2016070418 13.4 -115.1 70 989 HU 740
2016 EP03 Blas 2016070500 13.8 -116.4 75 985 HU 798
2016 EP03 Blas 2016070506 14.0 -117.9 85 978 HU 907
2016 EP03 Blas 2016070512 14.1 -119.2 95 970 HU 1017
2016 EP03 Blas 2016070518 14.2 -120.2 105 960 HU 1104
2016 EP03 Blas 2016070600 14.3 -121.2 120 947 HU 1195
2016 EP03 Blas 2016070606 14.5 -122.1 115 951 HU 1274
2016 EP03 Blas 2016070612 14.8 -123.1 110 956 HU 1361
2016 EP03 Blas 2016070618 15.1 -124.2 110 956 HU 1462
2016 EP03 Blas 2016070700 15.5 -125.0 110 956 HU 1531
2016 EP03 Blas 2016070706 15.8 -125.9 110 956 HU 1615
2016 EP03 Blas 2016070712 16.1 -126.7 105 958 HU 1668
2016 EP03 Blas 2016070718 16.4 -127.5 100 964 HU 1683
2016 EP03 Blas 2016070800 16.7 -128.3 95 968 HU 1703
2016 EP03 Blas 2016070806 17.1 -128.9 90 972 HU 1705
2016 EP03 Blas 2016070812 17.6 -129.6 85 974 HU 1709
2016 EP03 Blas 2016070818 18.1 -130.2 75 980 HU 1710
2016 EP03 Blas 2016070900 18.6 -130.8 70 985 HU 1714
2016 EP03 Blas 2016070906 19.2 -131.4 60 992 TS 1715
2016 EP03 Blas 2016070912 19.8 -132.1 55 995 TS 1728
2016 EP03 Blas 2016070918 20.5 -132.9 45 1002 TS 1748
2016 EP03 Blas 2016071000 20.9 -133.8 35 1003 TS 1801
2016 EP03 Blas 2016071006 21.1 -134.7 30 1007 LO 1868
2016 EP03 Blas 2016071012 21.3 -135.8 30 1007 LO 1956
2016 EP03 Blas 2016071018 21.5 -136.8 30 1008 LO 1890
2016 EP03 Blas 2016071100 21.5 -137.9 30 1008 LO 1776
2016 EP03 Blas 2016071106 21.4 -139.1 30 1008 LO 1651
2016 EP03 Blas 2016071112 21.2 -140.2 25 1009 LO 1536
2016 EP03 Blas 2016071118 21.0 -141.4 25 1010 LO 1410
2016 EP04 Celia 2016070600 11.5 -106.3 25 1008 LO 818
2016 EP04 Celia 2016070606 11.7 -107.0 25 1008 LO 829
2016 EP04 Celia 2016070612 11.9 -107.7 25 1007 LO 841
2016 EP04 Celia 2016070618 12.1 -108.4 25 1007 TD 792
2016 EP04 Celia 2016070700 12.2 -109.1 30 1006 TD 758
2016 EP04 Celia 2016070706 12.2 -109.8 30 1006 TD 741
2016 EP04 Celia 2016070712 12.2 -110.5 30 1006 TD 732
2016 EP04 Celia 2016070718 12.2 -111.2 30 1006 TD 730
2016 EP04 Celia 2016070800 12.3 -111.6 30 1006 TD 722
2016 EP04 Celia 2016070806 12.4 -111.9 30 1006 TD 714
2016 EP04 Celia 2016070812 12.6 -112.3 35 1005 TS 700
2016 EP04 Celia 2016070818 13.0 -112.9 40 1004 TS 673
2016 EP04 Celia 2016070900 13.6 -113.8 40 1004 TS 648
2016 EP04 Celia 2016070906 14.0 -115.1 40 1004 TS 687
2016 EP04 Celia 2016070912 14.3 -116.4 45 1002 TS 760
2016 EP04 Celia 2016070918 14.4 -117.4 45 1002 TS 837
2016 EP04 Celia 2016071000 14.5 -118.4 50 1000 TS 920
2016 EP04 Celia 2016071006 14.7 -119.5 50 1000 TS 1012
2016 EP04 Celia 2016071012 14.8 -120.6 60 994 TS 1113
2016 EP04 Celia 2016071018 14.8 -121.7 65 989 HU 1221
2016 EP04 Celia 2016071100 14.9 -122.8 70 986 HU 1327
2016 EP04 Celia 2016071106 14.9 -123.9 75 980 HU 1438
2016 EP04 Celia 2016071112 15.0 -125.0 80 977 HU 1547
2016 EP04 Celia 2016071118 15.1 -125.8 85 972 HU 1626
2016 EP04 Celia 2016071200 15.3 -126.6 85 972 HU 1702
2016 EP04 Celia 2016071206 15.8 -127.4 85 972 HU 1735
2016 EP04 Celia 2016071212 16.4 -128.1 80 975 HU 1719
2016 EP04 Celia 2016071218 17.0 -129.0 70 982 HU 1721
2016 EP04 Celia 2016071300 17.6 -129.9 65 986 HU 1730
2016 EP04 Celia 2016071306 18.2 -130.9 60 989 TS 1753
2016 EP04 Celia 2016071312 18.7 -131.9 55 992 TS 1791
2016 EP04 Celia 2016071318 19.2 -133.1 50 995 TS 1852
2016 EP04 Celia 2016071400 19.7 -134.2 45 1000 TS 1910
2016 EP04 Celia 2016071406 20.1 -135.2 45 1000 TS 1971
2016 EP04 Celia 2016071412 20.6 -136.3 45 1000 TS 1938
2016 EP04 Celia 2016071418 21.1 -137.3 45 1000 TS 1836
2016 EP04 Celia 2016071500 21.6 -138.5 45 1001 TS 1715
2016 EP04 Celia 2016071506 21.9 -139.6 40 1003 TS 1605
2016 EP04 Celia 2016071512 22.1 -140.8 35 1004 TS 1486
2016 EP04 Celia 2016071518 22.2 -142.0 35 1004 TS 1365
