season tcID TC YYYYMMDDHH lat lon vmax pmin status distance
2015 AL01 Ana 2015050606 26.8 -79.2 25 1016 LO 30
2015 AL01 Ana 2015050612 28.2 -78.5 25 1015 LO 161
2015 AL01 Ana 2015050618 29.7 -77.8 25 1014 LO 298
2015 AL01 Ana 2015050700 30.8 -77.5 30 1012 LO 307
2015 AL01 Ana 2015050706 30.7 -77.8 35 1010 LO 300
2015 AL01 Ana 2015050712 30.6 -77.5 40 1008 LO 326
2015 AL01 Ana 2015050718 31.2 -77.5 40 1005 LO 272
2015 AL01 Ana 2015050800 31.4 -77.6 40 1003 SS 249
2015 AL01 Ana 2015050806 31.5 -77.6 40 1002 SS 241
2015 AL01 Ana 2015050812 31.5 -77.5 40 1000 SS 247
2015 AL01 Ana 2015050818 31.6 -77.4 45 999 SS 245
2015 AL01 Ana 2015050900 31.9 -77.3 50 998 SS 229
2015 AL01 Ana 2015050906 32.2 -77.5 50 998 TS 194
2015 AL01 Ana 2015050912 32.5 -77.8 50 1001 TS 152
2015 AL01 Ana 2015050918 32.7 -78.0 45 1001 TS 125
2015 AL01 Ana 2015051000 33.1 -78.3 45 1001 TS 85
2015 AL01 Ana 2015051006 33.5 -78.6 40 1002 TS 36
2015 AL01 Ana 2015051012 33.9 -78.8 35 1002 TS 0
2015 AL01 Ana 2015051018 34.3 -78.7 30 1006 TD 0
2015 AL01 Ana 2015051100 34.7 -78.5 30 1009 TD 0
2015 AL01 Ana 2015051106 35.5 -78.0 30 1010 TD 0
2015 AL01 Ana 2015051112 36.2 -77.3 30 1012 TD 0
2015 AL01 Ana 2015051118 37.0 -76.3 30 1012 TD 5
2015 AL01 Ana 2015051200 38.1 -75.1 30 1012 LO 20
2015 AL01 Ana 2015051206 39.3 -73.1 25 1011 LO 103
2015 AL01 Ana 2015051212 40.8 -70.7 25 1009 LO 63
2015 AL01 Ana 2015051218 43.0 -67.0 25 1005 LO 108
2015 AL02 Bill 2015061600 27.0 -94.3 45 1005 TS 237
2015 AL02 Bill 2015061606 27.6 -95.2 45 1001 TS 139
2015 AL02 Bill 2015061612 28.0 -96.0 50 997 TS 67
2015 AL02 Bill 2015061618 28.2 -96.7 50 997 TS 8
2015 AL02 Bill 2015061700 29.1 -96.9 40 998 TS 0
2015 AL02 Bill 2015061706 30.3 -97.1 30 999 TD 0
