season tcID TC YYYYMMDDHH lat lon vmax pmin status distance
2018 AL01 Alberto 2018052512 18.8 -87.1 30 1006 SD 36
2018 AL01 Alberto 2018052518 18.7 -86.5 30 1006 SD 92
2018 AL01 Alberto 2018052600 18.9 -85.9 30 1006 SD 158
2018 AL01 Alberto 2018052606 19.6 -85.7 30 1005 SD 153
2018 AL01 Alberto 2018052612 21.3 -85.6 30 1004 SD 96
2018 AL01 Alberto 2018052618 22.6 -85.3 35 1002 SS 88
2018 AL01 Alberto 2018052700 23.6 -84.8 35 1000 SS 126
2018 AL01 Alberto 2018052706 24.9 -84.3 35 998 SS 222
2018 AL01 Alberto 2018052712 26.6 -84.4 40 995 SS 203
2018 AL01 Alberto 2018052718 27.6 -85.0 45 992 SS 219
2018 AL01 Alberto 2018052800 28.2 -85.8 55 991 TS 173
2018 AL01 Alberto 2018052806 28.6 -86.0 55 990 TS 144
2018 AL01 Alberto 2018052812 29.1 -85.9 50 991 TS 93
2018 AL01 Alberto 2018052818 29.8 -85.9 45 991 TS 40
2018 AL01 Alberto 2018052900 30.9 -86.1 30 993 TD 0
2018 AL01 Alberto 2018052906 31.9 -86.6 30 994 TD 0
2018 AL01 Alberto 2018052912 33.0 -87.0 30 996 TD 0
2018 AL01 Alberto 2018052918 34.2 -87.3 30 997 TD 0
2018 AL01 Alberto 2018053000 35.4 -87.6 30 998 TD 0
2018 AL01 Alberto 2018053006 36.7 -87.9 30 998 TD 0
2018 AL01 Alberto 2018053012 38.2 -87.7 30 998 TD 0
2018 AL01 Alberto 2018053018 39.9 -87.0 30 998 TD 0
2018 AL01 Alberto 2018053100 41.5 -86.0 30 997 TD 0
2018 AL01 Alberto 2018053106 43.5 -84.6 30 995 LO 0
2018 AL01 Alberto 2018053112 46.0 -83.3 30 995 LO 0
2018 AL02 Beryl 2018070412 10.0 -34.9 30 1008 TD 1257
2018 AL02 Beryl 2018070418 10.1 -36.5 30 1008 TD 1411
2018 AL02 Beryl 2018070500 10.1 -38.0 35 1007 TS 1457
2018 AL02 Beryl 2018070506 10.1 -39.5 35 1007 TS 1403
2018 AL02 Beryl 2018070512 10.2 -40.9 40 1005 TS 1326
2018 AL02 Beryl 2018070518 10.3 -42.3 45 1003 TS 1202
2018 AL02 Beryl 2018070600 10.3 -43.4 55 999 TS 1105
2018 AL02 Beryl 2018070606 10.5 -44.6 70 991 HU 1020
2018 AL02 Beryl 2018070612 10.7 -46.0 70 992 HU 930
2018 AL02 Beryl 2018070618 10.6 -47.3 65 993 HU 835
