season tcID TC YYYYMMDDHH lat lon vmax pmin status distance
2015 EP01 Andres 2015052806 10.8 -109.9 30 1005 TD 894
2015 EP01 Andres 2015052812 11.1 -111.0 40 1002 TS 852
2015 EP01 Andres 2015052818 11.4 -112.1 50 998 TS 828
2015 EP01 Andres 2015052900 11.6 -112.9 60 997 TS 823
2015 EP01 Andres 2015052906 11.9 -113.6 60 994 TS 813
2015 EP01 Andres 2015052912 12.2 -114.1 60 994 TS 802
2015 EP01 Andres 2015052918 12.6 -114.6 65 990 HU 786
2015 EP01 Andres 2015053000 13.2 -115.0 75 986 HU 752
2015 EP01 Andres 2015053006 13.6 -115.3 80 978 HU 735
2015 EP01 Andres 2015053012 14.1 -115.7 85 973 HU 721
2015 EP01 Andres 2015053018 14.6 -116.1 95 964 HU 714
2015 EP01 Andres 2015053100 15.0 -116.6 100 959 HU 728
2015 EP01 Andres 2015053106 15.2 -117.1 100 959 HU 760
2015 EP01 Andres 2015053112 15.3 -117.8 100 959 HU 819
2015 EP01 Andres 2015053118 15.3 -118.5 110 951 HU 885
2015 EP01 Andres 2015060100 15.3 -119.0 120 943 HU 934
2015 EP01 Andres 2015060106 15.4 -119.5 125 937 HU 978
2015 EP01 Andres 2015060112 15.5 -120.0 125 937 HU 1023
2015 EP01 Andres 2015060118 15.8 -120.6 115 952 HU 1071
2015 EP01 Andres 2015060200 16.3 -121.2 100 960 HU 1116
2015 EP01 Andres 2015060206 16.9 -121.9 90 969 HU 1172
2015 EP01 Andres 2015060212 17.4 -122.7 80 976 HU 1246
2015 EP01 Andres 2015060218 18.0 -123.5 75 980 HU 1321
2015 EP01 Andres 2015060300 18.5 -124.2 70 984 HU 1307
2015 EP01 Andres 2015060306 18.9 -124.7 60 990 TS 1292
2015 EP01 Andres 2015060312 19.3 -125.1 55 992 TS 1275
2015 EP01 Andres 2015060318 19.8 -125.3 50 996 TS 1240
2015 EP01 Andres 2015060400 20.0 -125.3 45 998 TS 1221
2015 EP01 Andres 2015060406 20.2 -125.1 45 1000 TS 1191
2015 EP01 Andres 2015060412 20.2 -124.8 35 1003 LO 1174
2015 EP01 Andres 2015060418 20.1 -124.4 35 1005 LO 1161
2015 EP01 Andres 2015060500 19.9 -123.9 30 1006 LO 1155
2015 EP01 Andres 2015060506 19.8 -123.4 30 1006 LO 1141
2015 EP01 Andres 2015060512 19.6 -122.9 30 1006 LO 1139
2015 EP01 Andres 2015060518 19.4 -122.4 25 1006 LO 1140
2015 EP01 Andres 2015060600 19.0 -121.9 25 1007 LO 1147
2015 EP01 Andres 2015060606 18.8 -121.4 25 1007 LO 1094
2015 EP01 Andres 2015060612 18.6 -120.8 25 1007 LO 1032
2015 EP01 Andres 2015060618 18.4 -120.4 25 1007 LO 991
2015 EP01 Andres 2015060700 18.3 -119.9 25 1007 LO 940
2015 EP02 Blanca 2015053112 12.0 -102.2 25 1008 TD 591
2015 EP02 Blanca 2015053118 12.2 -102.7 25 1008 TD 592
2015 EP02 Blanca 2015060100 12.9 -103.2 30 1006 TD 540
2015 EP02 Blanca 2015060106 13.3 -103.5 30 1006 TD 516
2015 EP02 Blanca 2015060112 13.3 -103.5 35 1004 TS 516
2015 EP02 Blanca 2015060118 13.3 -103.8 40 1003 TS 534
2015 EP02 Blanca 2015060200 13.3 -104.2 45 1001 TS 556
2015 EP02 Blanca 2015060206 13.2 -104.4 45 1001 TS 573
2015 EP02 Blanca 2015060212 13.0 -104.5 55 999 TS 598
2015 EP02 Blanca 2015060218 12.9 -104.5 65 989 HU 608
2015 EP02 Blanca 2015060300 12.8 -104.6 75 980 HU 622
2015 EP02 Blanca 2015060306 12.6 -104.6 90 968 HU 643
2015 EP02 Blanca 2015060312 12.4 -104.6 115 948 HU 665
2015 EP02 Blanca 2015060318 12.3 -104.6 125 936 HU 674
2015 EP02 Blanca 2015060400 12.1 -104.7 120 941 HU 699
2015 EP02 Blanca 2015060406 12.0 -104.8 110 950 HU 714
2015 EP02 Blanca 2015060412 12.2 -104.9 95 960 HU 696
2015 EP02 Blanca 2015060418 12.5 -105.0 85 975 HU 667
2015 EP02 Blanca 2015060500 13.3 -105.4 85 975 HU 597
2015 EP02 Blanca 2015060506 13.9 -105.9 85 972 HU 557
2015 EP02 Blanca 2015060512 14.5 -106.5 80 972 HU 535
2015 EP02 Blanca 2015060518 15.0 -107.3 80 975 HU 545
2015 EP02 Blanca 2015060600 15.7 -107.9 90 966 HU 472
2015 EP02 Blanca 2015060606 16.4 -108.5 100 956 HU 371
2015 EP02 Blanca 2015060612 17.1 -109.1 115 943 HU 271
2015 EP02 Blanca 2015060618 17.8 -109.7 105 952 HU 171
2015 EP02 Blanca 2015060700 18.7 -110.2 105 952 HU 78
2015 EP02 Blanca 2015060706 19.4 -110.5 95 960 HU 80
2015 EP02 Blanca 2015060712 20.1 -110.7 85 964 HU 144
2015 EP02 Blanca 2015060718 20.8 -110.9 60 978 TS 219
2015 EP02 Blanca 2015060800 21.8 -111.0 55 984 TS 162
2015 EP02 Blanca 2015060806 23.3 -111.3 45 990 TS 83
2015 EP02 Blanca 2015060812 24.7 -111.9 40 994 TS 4
2015 EP02 Blanca 2015060818 26.1 -112.7 35 998 TS 25
