storm,wind,RI,shear
1.0,50.0,0.0,4.534344673156738
1.0,55.0,0.0,5.472551345825195
1.0,60.0,0.0,4.3837809562683105
1.0,60.0,0.0,6.122344493865967
1.0,60.0,0.0,9.203901290893555
1.0,55.0,0.0,11.85234260559082
1.0,50.0,0.0,13.68100357055664
2.0,50.0,0.0,6.58312463760376
2.0,55.0,0.0,7.472419738769531
2.0,55.0,0.0,9.17016315460205
2.0,50.0,0.0,10.501718521118164
2.0,50.0,0.0,10.522945404052734
3.0,50.0,1.0,3.590470552444458
3.0,55.0,1.0,4.841082572937012
3.0,60.0,1.0,4.698398590087891
3.0,70.0,1.0,4.4508819580078125
3.0,75.0,1.0,3.7871639728546143
3.0,75.0,0.0,3.8630309104919434
3.0,75.0,0.0,4.214166164398193
3.0,75.0,1.0,2.8796446323394775
3.0,80.0,1.0,4.522594451904297
3.0,90.0,1.0,6.233680725097656
3.0,95.0,1.0,5.9287543296813965
3.0,100.0,1.0,4.386735916137695
3.0,115.0,1.0,5.9380879402160645
3.0,120.0,1.0,6.877814292907715
3.0,125.0,1.0,6.811014175415039
3.0,130.0,1.0,5.631661415100098
3.0,135.0,1.0,6.9070868492126465
3.0,145.0,1.0,8.273551940917969
3.0,155.0,1.0,8.257084846496582
3.0,160.0,1.0,6.320138931274414
3.0,155.0,0.0,7.233785152435303
3.0,145.0,0.0,8.653383255004883
3.0,135.0,0.0,8.344706535339355
3.0,125.0,0.0,4.773563385009766
3.0,115.0,0.0,6.115070343017578
3.0,105.0,0.0,8.124259948730469
3.0,100.0,0.0,7.3562541007995605
3.0,95.0,0.0,4.4029765129089355
3.0,90.0,0.0,5.319355487823486
3.0,90.0,0.0,4.999576568603516
3.0,90.0,0.0,3.366431713104248
3.0,95.0,0.0,6.629857540130615
3.0,100.0,0.0,10.512027740478516
3.0,100.0,0.0,10.535930633544922
3.0,100.0,0.0,9.939345359802246
3.0,95.0,0.0,9.121874809265137
3.0,90.0,0.0,9.635074615478516
3.0,90.0,0.0,11.600682258605957
3.0,85.0,0.0,11.379541397094727
3.0,85.0,0.0,16.184114456176758
3.0,85.0,0.0,20.711257934570312
3.0,85.0,0.0,23.347190856933594
3.0,85.0,0.0,26.666566848754883
3.0,80.0,0.0,28.819673538208008
3.0,80.0,0.0,31.04280662536621
3.0,75.0,0.0,31.258275985717773
3.0,70.0,0.0,29.47834587097168
3.0,60.0,0.0,28.194793701171875
3.0,50.0,0.0,27.809370040893555
4.0,50.0,0.0,6.478902816772461
4.0,55.0,0.0,9.828767776489258
4.0,55.0,0.0,10.254154205322266
4.0,55.0,0.0,9.671483993530273
4.0,60.0,0.0,6.225270748138428
4.0,60.0,0.0,8.494011878967285
5.0,50.0,0.0,9.198257446289062
5.0,50.0,0.0,10.281534194946289
5.0,55.0,0.0,9.692283630371094
5.0,60.0,0.0,9.587329864501953
5.0,65.0,0.0,10.843643188476562
5.0,70.0,0.0,11.993494987487793
5.0,75.0,0.0,10.243183135986328
5.0,75.0,0.0,9.210139274597168
5.0,80.0,0.0,11.364240646362305
5.0,85.0,0.0,13.780288696289062
5.0,90.0,0.0,14.533217430114746
5.0,95.0,0.0,15.466132164001465
5.0,100.0,0.0,17.64789581298828
5.0,105.0,0.0,20.639205932617188
5.0,105.0,0.0,21.58478355407715
5.0,110.0,0.0,24.795146942138672
5.0,110.0,0.0,28.169912338256836
5.0,105.0,0.0,30.62310028076172
5.0,95.0,0.0,29.870838165283203
5.0,80.0,0.0,27.069683074951172
5.0,70.0,0.0,23.857364654541016
5.0,60.0,0.0,21.445022583007812
5.0,50.0,0.0,15.283007621765137
6.0,50.0,0.0,5.844086170196533
7.0,50.0,0.0,11.439291000366211
7.0,55.0,0.0,13.588074684143066
7.0,60.0,0.0,13.91367244720459
7.0,55.0,0.0,13.653639793395996
7.0,50.0,0.0,12.777143478393555
7.0,45.0,0.0,9.828794479370117
7.0,40.0,0.0,7.586480617523193
7.0,35.0,0.0,5.07565975189209
7.0,35.0,0.0,7.1152777671813965
7.0,35.0,0.0,8.25351619720459
7.0,40.0,0.0,7.224438190460205
7.0,45.0,0.0,6.898321628570557
7.0,50.0,0.0,6.326804161071777
7.0,55.0,0.0,5.206619739532471
7.0,55.0,1.0,7.1569504737854
7.0,60.0,1.0,8.5077486038208
7.0,70.0,1.0,6.658631801605225
7.0,75.0,1.0,6.58022928237915
7.0,80.0,1.0,6.371673107147217
7.0,85.0,1.0,7.443277835845947
7.0,80.0,0.0,9.18578052520752
7.0,75.0,0.0,10.054439544677734
7.0,70.0,0.0,7.630895614624023
7.0,60.0,0.0,9.095191955566406
7.0,50.0,0.0,11.087624549865723
8.0,50.0,0.0,30.327625274658203
8.0,55.0,0.0,27.798612594604492
8.0,55.0,0.0,25.55692481994629
8.0,55.0,0.0,27.21070671081543
