season tcID TC YYYYMMDDHH lat lon vmax pmin status distance
2016 AL01 Alex 2016010700 26.6 -75.3 40 1010 EX 175
2016 AL01 Alex 2016010706 27.6 -74.7 45 1003 EX 264
2016 AL01 Alex 2016010712 28.7 -73.8 50 997 EX 404
2016 AL01 Alex 2016010718 30.0 -72.5 55 987 EX 593
2016 AL01 Alex 2016010800 31.4 -70.6 55 986 EX 548
2016 AL01 Alex 2016010806 32.4 -68.8 55 986 EX 367
2016 AL01 Alex 2016010812 33.0 -67.1 45 991 EX 220
2016 AL01 Alex 2016010818 33.5 -65.0 45 991 EX 134
2016 AL01 Alex 2016010900 34.0 -62.9 45 991 EX 265
2016 AL01 Alex 2016010906 34.5 -60.5 50 991 EX 475
2016 AL01 Alex 2016010912 35.0 -58.3 55 989 EX 679
2016 AL01 Alex 2016010918 35.1 -56.1 60 985 EX 870
2016 AL01 Alex 2016011000 34.4 -54.2 65 981 EX 1018
2016 AL01 Alex 2016011006 33.7 -52.7 65 981 EX 1145
2016 AL01 Alex 2016011012 32.9 -51.2 65 979 EX 1282
2016 AL01 Alex 2016011018 32.1 -49.1 60 980 EX 1483
2016 AL01 Alex 2016011100 31.6 -46.5 55 980 EX 1630
2016 AL01 Alex 2016011106 31.6 -44.6 55 980 EX 1488
2016 AL01 Alex 2016011112 31.3 -43.4 55 980 EX 1424
2016 AL01 Alex 2016011118 30.0 -42.5 50 982 EX 1468
2016 AL01 Alex 2016011200 28.4 -41.7 50 985 EX 1559
2016 AL01 Alex 2016011206 26.3 -40.2 50 988 EX 1681
2016 AL01 Alex 2016011212 25.0 -38.0 50 988 EX 1582
2016 AL01 Alex 2016011218 25.1 -35.9 50 988 SS 1413
2016 AL01 Alex 2016011300 25.4 -34.7 50 988 SS 1341
2016 AL01 Alex 2016011306 25.6 -33.6 45 989 SS 1276
2016 AL01 Alex 2016011312 26.0 -32.5 45 989 SS 1237
2016 AL01 Alex 2016011318 26.7 -31.4 45 990 SS 1237
2016 AL01 Alex 2016011400 27.9 -30.4 55 988 SS 1124
2016 AL01 Alex 2016011406 29.3 -29.6 65 985 HU 950
2016 AL01 Alex 2016011412 30.8 -28.7 75 981 HU 762
2016 AL01 Alex 2016011418 32.5 -28.0 75 981 HU 563
2016 AL01 Alex 2016011500 33.9 -27.6 70 984 HU 409
2016 AL01 Alex 2016011506 35.4 -27.2 65 986 HU 257
2016 AL01 Alex 2016011512 38.0 -27.0 55 986 TS 75
2016 AL01 Alex 2016011518 41.5 -27.7 55 986 EX 272
2016 AL01 Alex 2016011600 45.1 -28.9 55 984 EX 650
2016 AL01 Alex 2016011606 48.9 -30.2 55 982 EX 1048
2016 AL01 Alex 2016011612 53.0 -32.0 55 980 EX 1039
2016 AL01 Alex 2016011618 56.0 -37.0 55 979 EX 577
2016 AL01 Alex 2016011700 57.0 -42.0 70 978 EX 333
2016 AL02 Bonnie 2016052706 27.2 -72.1 30 1010 LO 418
2016 AL02 Bonnie 2016052712 27.7 -73.1 30 1009 LO 415
2016 AL02 Bonnie 2016052718 28.3 -74.4 30 1009 TD 331
2016 AL02 Bonnie 2016052800 28.8 -75.5 30 1009 TD 293
2016 AL02 Bonnie 2016052806 29.4 -76.7 30 1009 TD 299
2016 AL02 Bonnie 2016052812 30.0 -78.0 35 1008 TS 296
2016 AL02 Bonnie 2016052818 30.7 -79.1 40 1008 TS 220
2016 AL02 Bonnie 2016052900 31.0 -79.4 40 1007 TS 181
2016 AL02 Bonnie 2016052906 31.7 -79.4 35 1007 TS 120
2016 AL02 Bonnie 2016052912 32.7 -79.7 30 1007 TD 16
2016 AL02 Bonnie 2016052918 33.0 -80.3 30 1010 TD 0
2016 AL02 Bonnie 2016053000 32.7 -80.3 25 1011 TD 0
2016 AL02 Bonnie 2016053006 33.1 -80.0 25 1011 TD 0
2016 AL02 Bonnie 2016053012 33.3 -79.8 25 1012 LO 0
2016 AL02 Bonnie 2016053018 33.4 -79.6 25 1011 LO 0
2016 AL02 Bonnie 2016053100 33.2 -79.3 25 1009 LO 0
2016 AL02 Bonnie 2016053106 33.1 -78.8 25 1007 LO 39
2016 AL02 Bonnie 2016053112 33.2 -78.4 25 1007 LO 72
2016 AL02 Bonnie 2016053118 33.3 -78.0 25 1007 LO 70
2016 AL02 Bonnie 2016060100 33.4 -77.7 20 1008 LO 64
2016 AL02 Bonnie 2016060106 33.4 -77.3 20 1009 LO 86
2016 AL02 Bonnie 2016060112 33.4 -76.9 20 1009 LO 115
2016 AL02 Bonnie 2016060118 33.5 -76.4 20 1010 LO 131
2016 AL02 Bonnie 2016060200 34.1 -76.0 20 1010 TD 82
2016 AL02 Bonnie 2016060206 34.7 -75.7 25 1010 TD 63
2016 AL02 Bonnie 2016060212 35.1 -75.4 25 1009 TD 26
