season tcID TC YYYYMMDDHH lat lon vmax pmin status distance
2017 EP01 Adrian 2017050918 9.3 -91.2 30 1006 TD 499
2017 EP01 Adrian 2017051000 9.5 -91.7 35 1005 TS 498
2017 EP01 Adrian 2017051006 9.7 -92.0 40 1004 TS 481
2017 EP01 Adrian 2017051012 9.9 -92.3 35 1004 TS 466
2017 EP01 Adrian 2017051018 10.2 -92.6 35 1004 TS 443
2017 EP01 Adrian 2017051100 10.5 -92.9 30 1006 LO 423
2017 EP01 Adrian 2017051106 10.8 -93.1 25 1007 LO 403
2017 EP01 Adrian 2017051112 11.2 -93.3 25 1008 LO 373
2017 EP01 Adrian 2017051118 11.6 -93.8 20 1008 LO 364
2017 EP01 Adrian 2017051200 12.3 -94.6 20 1008 LO 362
2017 EP01 Adrian 2017051206 12.9 -95.6 20 1008 LO 320
2017 EP02 Beatriz 2017053112 13.8 -97.9 25 1007 TD 242
2017 EP02 Beatriz 2017053118 14.0 -97.7 30 1006 TD 214
2017 EP02 Beatriz 2017060100 14.2 -97.5 30 1004 TD 186
2017 EP02 Beatriz 2017060106 14.5 -97.3 35 1003 TS 147
2017 EP02 Beatriz 2017060112 14.8 -97.1 40 1001 TS 110
2017 EP02 Beatriz 2017060118 15.1 -96.9 40 1001 TS 72
2017 EP02 Beatriz 2017060200 15.7 -96.6 40 1001 TS 0
2017 EP02 Beatriz 2017060206 16.3 -96.3 30 1006 TD 0
2017 EP03 Calvin 2017061112 14.0 -94.7 30 1006 TD 231
2017 EP03 Calvin 2017061118 14.5 -94.8 30 1006 TD 181
2017 EP03 Calvin 2017061200 14.9 -94.9 30 1006 TD 137
2017 EP03 Calvin 2017061206 15.2 -95.0 30 1006 TD 102
2017 EP03 Calvin 2017061212 15.4 -95.2 30 1006 TD 73
2017 EP03 Calvin 2017061218 15.6 -95.4 35 1005 TS 45
2017 EP03 Calvin 2017061300 15.9 -95.7 40 1004 TS 4
2017 EP03 Calvin 2017061306 16.2 -96.1 30 1007 TD 0
2017 EP04 Dora 2017062400 12.8 -96.5 25 1008 LO 322
2017 EP04 Dora 2017062406 13.0 -97.2 25 1008 LO 306
2017 EP04 Dora 2017062412 13.2 -97.9 25 1008 LO 305
2017 EP04 Dora 2017062418 13.6 -98.7 25 1007 TD 284
2017 EP04 Dora 2017062500 14.0 -99.5 30 1006 TD 282
2017 EP04 Dora 2017062506 14.4 -100.4 35 1005 TS 270
2017 EP04 Dora 2017062512 14.9 -101.4 40 1003 TS 265
2017 EP04 Dora 2017062518 15.5 -102.6 45 1001 TS 260
2017 EP04 Dora 2017062600 16.1 -103.8 55 999 TS 246
2017 EP04 Dora 2017062606 16.6 -104.8 65 993 HU 239
2017 EP04 Dora 2017062612 17.1 -105.8 85 978 HU 262
2017 EP04 Dora 2017062618 17.6 -106.8 90 974 HU 278
2017 EP04 Dora 2017062700 18.1 -107.8 85 977 HU 320
2017 EP04 Dora 2017062706 18.6 -108.7 75 984 HU 236
2017 EP04 Dora 2017062712 19.0 -109.7 65 990 HU 132
2017 EP04 Dora 2017062718 19.3 -110.7 55 995 TS 59
2017 EP04 Dora 2017062800 19.5 -111.7 45 1000 TS 104
2017 EP04 Dora 2017062806 19.7 -112.6 35 1005 LO 194
2017 EP04 Dora 2017062812 19.9 -113.5 30 1007 LO 288
2017 EP04 Dora 2017062818 20.1 -114.4 25 1007 LO 383
2017 EP04 Dora 2017062900 20.4 -115.3 25 1007 LO 483
2017 EP04 Dora 2017062906 20.7 -116.0 20 1008 LO 563
2017 EP04 Dora 2017062912 21.0 -116.6 20 1008 LO 614
2017 EP04 Dora 2017062918 21.4 -117.1 20 1008 LO 628
2017 EP04 Dora 2017063000 21.4 -117.4 15 1009 LO 653
2017 EP04 Dora 2017063006 21.3 -117.5 15 1009 LO 668
2017 EP04 Dora 2017063012 21.1 -117.6 15 1009 LO 689
2017 EP04 Dora 2017063018 20.6 -117.6 15 1010 LO 718
2017 EP04 Dora 2017070100 19.9 -117.8 15 1010 LO 723
2017 EP05 Eugene 2017070712 11.2 -110.0 30 1008 TD 848
2017 EP05 Eugene 2017070718 11.6 -110.8 35 1007 TS 797
2017 EP05 Eugene 2017070800 12.1 -111.3 35 1007 TS 742
2017 EP05 Eugene 2017070806 12.7 -111.9 40 1006 TS 681
2017 EP05 Eugene 2017070812 13.2 -112.5 50 1002 TS 639
2017 EP05 Eugene 2017070818 13.6 -113.0 60 997 TS 613
2017 EP05 Eugene 2017070900 14.1 -113.4 70 989 HU 579
2017 EP05 Eugene 2017070906 14.8 -113.8 85 976 HU 532
2017 EP05 Eugene 2017070912 15.5 -114.4 95 969 HU 512
2017 EP05 Eugene 2017070918 16.3 -115.0 100 966 HU 505
2017 EP05 Eugene 2017071000 17.1 -115.6 90 971 HU 521
2017 EP05 Eugene 2017071006 17.7 -116.2 85 976 HU 562
2017 EP05 Eugene 2017071012 18.3 -116.9 75 981 HU 624
2017 EP05 Eugene 2017071018 19.0 -117.5 70 984 HU 684
2017 EP05 Eugene 2017071100 19.6 -118.0 60 991 TS 740
2017 EP05 Eugene 2017071106 20.3 -118.6 55 995 TS 813
2017 EP05 Eugene 2017071112 20.9 -119.2 50 998 TS 842
2017 EP05 Eugene 2017071118 21.5 -119.8 45 1001 TS 839
2017 EP05 Eugene 2017071200 22.0 -120.3 40 1004 TS 797
2017 EP05 Eugene 2017071206 22.6 -120.8 35 1005 TS 748
