season tcID TC YYYYMMDDHH lat lon vmax pmin status distance
2019 AL01 Andrea 2019052018 28.1 -68.6 35 1008 SS 586
2019 AL01 Andrea 2019052100 29.1 -68.8 35 1006 SS 515
2019 AL01 Andrea 2019052106 29.9 -69.0 35 1007 SS 473
2019 AL01 Andrea 2019052112 30.6 -69.1 30 1009 LO 441
2019 AL01 Andrea 2019052118 30.8 -68.6 30 1009 LO 388
2019 AL01 Andrea 2019052200 31.3 -67.7 30 1010 LO 287
2019 AL01 Andrea 2019052206 31.6 -66.7 25 1011 LO 187
2019 AL02 Barry 2019071012 28.5 -86.5 25 1009 DB 182
2019 AL02 Barry 2019071018 28.1 -87.1 30 1009 DB 227
2019 AL02 Barry 2019071100 27.8 -87.6 30 1008 TD 208
2019 AL02 Barry 2019071106 27.7 -88.0 35 1007 TS 191
2019 AL02 Barry 2019071112 27.7 -88.4 35 1005 TS 171
2019 AL02 Barry 2019071118 27.7 -88.8 40 1005 TS 159
2019 AL02 Barry 2019071200 27.8 -89.2 45 1001 TS 141
2019 AL02 Barry 2019071206 27.9 -89.7 45 1001 TS 135
2019 AL02 Barry 2019071212 28.1 -90.2 50 998 TS 116
2019 AL02 Barry 2019071218 28.4 -90.7 55 993 TS 85
2019 AL02 Barry 2019071300 28.6 -91.1 60 993 TS 68
2019 AL02 Barry 2019071306 28.9 -91.5 60 993 TS 50
2019 AL02 Barry 2019071312 29.3 -91.9 65 993 HU 28
2019 AL02 Barry 2019071318 29.9 -92.4 60 996 TS 0
2019 AL02 Barry 2019071400 30.4 -92.8 50 999 TS 0
2019 AL02 Barry 2019071406 31.0 -93.2 40 1003 TS 0
2019 AL02 Barry 2019071412 31.6 -93.5 35 1005 TS 0
2019 AL02 Barry 2019071418 32.3 -93.6 35 1007 TS 0
2019 AL02 Barry 2019071500 33.0 -93.6 25 1008 TD 0
2019 AL02 Barry 2019071506 33.9 -93.6 25 1008 TD 0
2019 AL02 Barry 2019071512 34.7 -93.6 20 1008 LO 0
2019 AL02 Barry 2019071518 35.5 -93.5 20 1008 LO 0
2019 AL02 Barry 2019071600 36.3 -93.3 15 1009 LO 0
2019 AL02 Barry 2019071606 37.2 -92.9 15 1010 LO 0
2019 AL03 Three 2019072212 24.6 -77.4 25 1013 TD 35
2019 AL03 Three 2019072218 25.0 -78.4 25 1013 TD 26
2019 AL03 Three 2019072300 25.7 -79.3 25 1013 TD 87
2019 AL03 Three 2019072306 26.9 -79.6 30 1013 TD 43
2019 AL03 Three 2019072312 28.6 -80.0 30 1014 TD 59
2019 AL04 Chantal 2019082018 40.1 -59.7 30 1008 TD 574
2019 AL04 Chantal 2019082100 40.3 -57.1 35 1007 TS 641
